Week,Midgrade
05/11/2015,2.9
05/4/2015,2.87
04/27/2015,2.777
04/20/2015,2.686
04/13/2015,2.616
04/6/2015,2.617
03/30/2015,2.649
03/23/2015,2.65
03/16/2015,2.652
03/9/2015,2.686
03/2/2015,2.671
02/23/2015,2.526
02/16/2015,2.467
02/9/2015,2.388
02/2/2015,2.268
01/26/2015,2.25
01/19/2015,2.277
01/12/2015,2.358
01/5/2015,2.437
12/29/2014,2.517
12/22/2014,2.619
12/15/2014,2.763
12/8/2014,2.882
12/1/2014,2.978
11/24/2014,3.019
11/17/2014,3.088
11/10/2014,3.134
11/3/2014,3.187
10/27/2014,3.248
10/20/2014,3.319
10/13/2014,3.406
10/6/2014,3.492
09/29/2014,3.537
09/22/2014,3.536
09/15/2014,3.585
09/8/2014,3.632
09/1/2014,3.638
08/25/2014,3.635
08/18/2014,3.653
08/11/2014,3.684
08/4/2014,3.701
07/28/2014,3.723
07/21/2014,3.773
07/14/2014,3.811
07/7/2014,3.849
06/30/2014,3.872
06/23/2014,3.873
06/16/2014,3.853
06/9/2014,3.844
06/2/2014,3.862
05/26/2014,3.85
05/19/2014,3.844
05/12/2014,3.85
05/5/2014,3.864
04/28/2014,3.888
04/21/2014,3.857
04/14/2014,3.823
04/7/2014,3.769
03/31/2014,3.743
03/24/2014,3.716
03/17/2014,3.71
03/10/2014,3.674
03/3/2014,3.648
02/24/2014,3.615
02/17/2014,3.555
02/10/2014,3.487
02/3/2014,3.475
01/27/2014,3.474
01/20/2014,3.477
01/13/2014,3.505
01/6/2014,3.513
12/30/2013,3.503
12/23/2013,3.451
12/16/2013,3.423
12/9/2013,3.453
12/2/2013,3.457
11/25/2013,3.47
11/18/2013,3.401
11/11/2013,3.38
11/4/2013,3.441
10/28/2013,3.475
10/21/2013,3.531
10/14/2013,3.527
10/7/2013,3.535
09/30/2013,3.596
09/23/2013,3.656
09/16/2013,3.709
09/9/2013,3.741
09/2/2013,3.76
08/26/2013,3.707
08/19/2013,3.707
08/12/2013,3.719
08/5/2013,3.781
07/29/2013,3.801
07/22/2013,3.831
07/15/2013,3.786
07/8/2013,3.654
07/1/2013,3.66
06/24/2013,3.733
06/17/2013,3.764
06/10/2013,3.783
06/3/2013,3.773
05/27/2013,3.779
05/20/2013,3.801
05/13/2013,3.739
05/6/2013,3.681
04/29/2013,3.668
04/22/2013,3.687
04/15/2013,3.7
04/8/2013,3.761
04/1/2013,3.798
03/25/2013,3.828
03/18/2013,3.85
03/11/2013,3.865
03/4/2013,3.91
02/25/2013,3.934
02/18/2013,3.891
02/11/2013,3.756
02/4/2013,3.683
01/28/2013,3.512
01/21/2013,3.473
01/14/2013,3.467
01/7/2013,3.463
12/31/2012,3.455
12/24/2012,3.415
12/17/2012,3.409
12/10/2012,3.504
12/3/2012,3.548
11/26/2012,3.585
11/19/2012,3.579
11/12/2012,3.605
11/5/2012,3.652
10/29/2012,3.733
10/22/2012,3.85
10/15/2012,3.976
10/8/2012,4.002
10/1/2012,3.944
09/24/2012,3.966
09/17/2012,4.013
09/10/2012,3.981
09/3/2012,3.975
08/27/2012,3.909
08/20/2012,3.874
08/13/2012,3.847
08/6/2012,3.767
07/30/2012,3.639
07/23/2012,3.626
07/16/2012,3.551
07/9/2012,3.539
07/2/2012,3.489
06/25/2012,3.568
06/18/2012,3.661
06/11/2012,3.703
06/4/2012,3.75
05/28/2012,3.805
05/21/2012,3.85
05/14/2012,3.895
05/7/2012,3.923
04/30/2012,3.962
04/23/2012,3.999
04/16/2012,4.047
04/9/2012,4.067
04/2/2012,4.063
03/26/2012,4.042
03/19/2012,3.993
03/12/2012,3.954
03/5/2012,3.92
02/27/2012,3.855
02/20/2012,3.729
02/13/2012,3.659
02/6/2012,3.614
01/30/2012,3.573
01/23/2012,3.522
01/16/2012,3.522
01/9/2012,3.512
01/2/2012,3.429
12/26/2011,3.388
12/19/2011,3.368
12/12/2011,3.421
12/5/2011,3.426
11/28/2011,3.447
11/21/2011,3.503
11/14/2011,3.571
11/7/2011,3.558
10/31/2011,3.587
10/24/2011,3.594
10/17/2011,3.604
10/10/2011,3.551
10/3/2011,3.569
09/26/2011,3.642
09/19/2011,3.727
09/12/2011,3.78
09/5/2011,3.791
08/29/2011,3.746
08/22/2011,3.703
08/15/2011,3.728
08/8/2011,3.794
08/1/2011,3.829
07/25/2011,3.819
07/18/2011,3.796
07/11/2011,3.756
07/4/2011,3.699
06/27/2011,3.7
06/20/2011,3.776
06/13/2011,3.829
06/6/2011,3.891
05/30/2011,3.914
05/23/2011,3.975
05/16/2011,4.079
05/9/2011,4.081
05/2/2011,4.075
04/25/2011,3.994
04/18/2011,3.96
04/11/2011,3.907
04/4/2011,3.801
03/28/2011,3.718
03/21/2011,3.686
03/14/2011,3.69
03/7/2011,3.636
02/28/2011,3.499
02/21/2011,3.311
02/14/2011,3.259
02/7/2011,3.251
01/31/2011,3.221
01/24/2011,3.227
01/17/2011,3.222
01/10/2011,3.204
01/3/2011,3.188
12/27/2010,3.171
12/20/2010,3.104
12/13/2010,3.101
12/6/2010,3.079
11/29/2010,2.982
11/22/2010,2.999
11/15/2010,3.007
11/8/2010,2.979
11/1/2010,2.929
10/25/2010,2.938
10/18/2010,2.953
10/11/2010,2.934
10/4/2010,2.85
09/27/2010,2.818
09/20/2010,2.844
09/13/2010,2.836
09/6/2010,2.803
08/30/2010,2.806
08/23/2010,2.831
08/16/2010,2.869
08/9/2010,2.903
08/2/2010,2.856
07/26/2010,2.867
07/19/2010,2.843
07/12/2010,2.838
07/5/2010,2.846
06/28/2010,2.873
06/21/2010,2.861
06/14/2010,2.825
06/7/2010,2.849
05/31/2010,2.855
05/24/2010,2.914
05/17/2010,2.985
05/10/2010,3.023
05/3/2010,3.011
04/26/2010,2.966
04/19/2010,2.974
04/12/2010,2.972
04/5/2010,2.94
03/29/2010,2.918
03/22/2010,2.936
03/15/2010,2.908
03/8/2010,2.871
03/1/2010,2.827
02/22/2010,2.778
02/15/2010,2.738
02/8/2010,2.778
02/1/2010,2.787
01/25/2010,2.832
01/18/2010,2.861
01/11/2010,2.869
01/4/2010,2.784
12/28/2009,2.731
12/21/2009,2.717
12/14/2009,2.727
12/7/2009,2.761
11/30/2009,2.754
11/23/2009,2.764
11/16/2009,2.755
11/9/2009,2.787
11/2/2009,2.812
10/26/2009,2.792
10/19/2009,2.694
10/12/2009,2.614
10/5/2009,2.6
09/28/2009,2.631
09/21/2009,2.68
09/14/2009,2.704
09/7/2009,2.711
08/31/2009,2.739
08/24/2009,2.751
08/17/2009,2.761
08/10/2009,2.767
08/3/2009,2.676
07/27/2009,2.625
07/20/2009,2.591
07/13/2009,2.656
07/6/2009,2.736
06/29/2009,2.763
06/22/2009,2.808
06/15/2009,2.784
06/8/2009,2.731
06/1/2009,2.63
05/25/2009,2.547
05/18/2009,2.424
05/11/2009,2.352
05/4/2009,2.195
04/27/2009,2.171
04/20/2009,2.181
04/13/2009,2.172
04/6/2009,2.158
03/30/2009,2.163
03/23/2009,2.079
03/16/2009,2.034
03/9/2009,2.059
03/2/2009,2.057
02/23/2009,2.032
02/16/2009,2.083
02/9/2009,2.044
02/2/2009,2.007
01/26/2009,1.954
01/19/2009,1.961
01/12/2009,1.9
01/5/2009,1.8
12/29/2008,1.743
12/22/2008,1.781
12/15/2008,1.785
12/8/2008,1.832
12/1/2008,1.945
11/24/2008,2.029
11/17/2008,2.211
11/10/2008,2.363
11/3/2008,2.543
10/27/2008,2.8
10/20/2008,3.053
10/13/2008,3.296
10/6/2008,3.618
09/29/2008,3.755
09/22/2008,3.839
09/15/2008,3.948
09/8/2008,3.769
09/1/2008,3.802
08/25/2008,3.806
08/18/2008,3.862
08/11/2008,3.932
08/4/2008,4.006
07/28/2008,4.082
07/21/2008,4.186
07/14/2008,4.228
07/7/2008,4.229
06/30/2008,4.209
06/23/2008,4.197
06/16/2008,4.199
06/9/2008,4.152
06/2/2008,4.086
05/26/2008,4.045
05/19/2008,3.897
05/12/2008,3.83
05/5/2008,3.725
04/28/2008,3.716
04/21/2008,3.621
04/14/2008,3.502
04/7/2008,3.444
03/31/2008,3.405
03/24/2008,3.378
03/17/2008,3.398
03/10/2008,3.334
03/3/2008,3.277
02/25/2008,3.243
02/18/2008,3.153
02/11/2008,3.074
02/4/2008,3.094
01/28/2008,3.097
01/21/2008,3.136
01/14/2008,3.185
01/7/2008,3.22
12/31/2007,3.167
12/24/2007,3.099
12/17/2007,3.116
12/10/2007,3.121
12/3/2007,3.178
11/26/2007,3.209
11/19/2007,3.208
11/12/2007,3.218
11/5/2007,3.117
10/29/2007,2.983
10/22/2007,2.937
10/15/2007,2.879
10/8/2007,2.887
10/1/2007,2.903
09/24/2007,2.917
09/17/2007,2.892
09/10/2007,2.912
09/3/2007,2.89
08/27/2007,2.851
08/20/2007,2.886
08/13/2007,2.88
08/6/2007,2.951
07/30/2007,2.987
07/23/2007,3.062
07/16/2007,3.143
07/9/2007,3.077
07/2/2007,3.064
06/25/2007,3.089
06/18/2007,3.116
06/11/2007,3.185
06/4/2007,3.255
05/28/2007,3.302
05/21/2007,3.308
05/14/2007,3.197
05/7/2007,3.155
04/30/2007,3.079
04/23/2007,2.98
04/16/2007,2.983
04/9/2007,2.909
04/2/2007,2.814
03/26/2007,2.716
03/19/2007,2.688
03/12/2007,2.667
03/5/2007,2.609
02/26/2007,2.488
02/19/2007,2.401
02/12/2007,2.35
02/5/2007,2.3
01/29/2007,2.277
01/22/2007,2.285
01/15/2007,2.347
01/8/2007,2.418
01/1/2007,2.442
