Week,Midgrade
09/25/2017,2.859
09/18/2017,2.906
09/11/2017,2.953
09/4/2017,2.946
08/28/2017,2.668
08/21/2017,2.631
08/14/2017,2.653
08/7/2017,2.644
07/31/2017,2.623
07/24/2017,2.582
07/17/2017,2.551
07/10/2017,2.569
07/3/2017,2.536
06/26/2017,2.565
06/19/2017,2.593
06/12/2017,2.633
06/5/2017,2.677
05/29/2017,2.665
05/22/2017,2.663
05/15/2017,2.634
05/8/2017,2.635
05/1/2017,2.673
04/24/2017,2.706
04/17/2017,2.694
04/10/2017,2.683
04/3/2017,2.622
03/27/2017,2.583
03/20/2017,2.587
03/13/2017,2.586
03/6/2017,2.604
02/27/2017,2.579
02/20/2017,2.564
02/13/2017,2.566
02/6/2017,2.552
01/30/2017,2.553
01/23/2017,2.578
01/16/2017,2.607
01/9/2017,2.636
01/2/2017,2.622
12/26/2016,2.561
12/19/2016,2.522
12/12/2016,2.494
12/5/2016,2.471
11/28/2016,2.423
11/21/2016,2.423
11/14/2016,2.455
11/7/2016,2.498
10/31/2016,2.493
10/24/2016,2.502
10/17/2016,2.516
10/10/2016,2.529
10/3/2016,2.506
09/26/2016,2.484
09/19/2016,2.481
09/12/2016,2.454
09/5/2016,2.468
08/29/2016,2.481
08/22/2016,2.441
08/15/2016,2.401
08/8/2016,2.398
08/1/2016,2.413
07/25/2016,2.434
07/18/2016,2.479
07/11/2016,2.501
07/4/2016,2.537
06/27/2016,2.57
06/20/2016,2.592
06/13/2016,2.632
06/6/2016,2.616
05/30/2016,2.574
05/23/2016,2.541
05/16/2016,2.485
05/9/2016,2.469
05/2/2016,2.482
04/25/2016,2.405
04/18/2016,2.378
04/11/2016,2.315
04/4/2016,2.323
03/28/2016,2.31
03/21/2016,2.248
03/14/2016,2.2
03/7/2016,2.081
02/29/2016,2.029
02/22/2016,1.983
02/15/2016,1.984
02/8/2016,2.025
02/1/2016,2.085
01/25/2016,2.118
01/18/2016,2.172
01/11/2016,2.253
01/4/2016,2.285
12/28/2015,2.29
12/21/2015,2.28
12/14/2015,2.287
12/7/2015,2.303
11/30/2015,2.308
11/23/2015,2.338
11/16/2015,2.42
11/9/2015,2.468
11/2/2015,2.455
10/26/2015,2.46
10/19/2015,2.505
10/12/2015,2.561
10/5/2015,2.545
09/28/2015,2.551
09/21/2015,2.561
09/14/2015,2.605
09/7/2015,2.662
08/31/2015,2.734
08/24/2015,2.854
08/17/2015,2.927
08/10/2015,2.85
08/3/2015,2.909
07/27/2015,2.96
07/20/2015,3.012
07/13/2015,3.044
07/6/2015,2.99
06/29/2015,2.997
06/22/2015,3.006
06/15/2015,3.025
06/8/2015,2.977
06/1/2015,2.978
05/25/2015,2.975
05/18/2015,2.949
