Week,Premium
09/25/2017,3.105
09/18/2017,3.151
09/11/2017,3.197
09/4/2017,3.191
08/28/2017,2.901
08/21/2017,2.865
08/14/2017,2.886
08/7/2017,2.882
07/31/2017,2.86
07/24/2017,2.816
07/17/2017,2.781
07/10/2017,2.798
07/3/2017,2.77
06/26/2017,2.799
06/19/2017,2.825
06/12/2017,2.865
06/5/2017,2.906
05/29/2017,2.894
05/22/2017,2.889
05/15/2017,2.867
05/8/2017,2.87
05/1/2017,2.907
04/24/2017,2.938
04/17/2017,2.927
04/10/2017,2.912
04/3/2017,2.851
03/27/2017,2.812
03/20/2017,2.816
03/13/2017,2.816
03/6/2017,2.833
02/27/2017,2.812
02/20/2017,2.798
02/13/2017,2.801
02/6/2017,2.79
01/30/2017,2.795
01/23/2017,2.817
01/16/2017,2.845
01/9/2017,2.874
01/2/2017,2.865
12/26/2016,2.799
12/19/2016,2.761
12/12/2016,2.732
12/5/2016,2.71
11/28/2016,2.657
11/21/2016,2.66
11/14/2016,2.691
11/7/2016,2.732
10/31/2016,2.719
10/24/2016,2.73
10/17/2016,2.742
10/10/2016,2.754
10/3/2016,2.726
09/26/2016,2.708
09/19/2016,2.706
09/12/2016,2.68
09/5/2016,2.698
08/29/2016,2.701
08/22/2016,2.664
08/15/2016,2.622
08/8/2016,2.621
08/1/2016,2.635
07/25/2016,2.656
07/18/2016,2.701
07/11/2016,2.721
07/4/2016,2.755
06/27/2016,2.785
06/20/2016,2.805
06/13/2016,2.842
06/6/2016,2.83
05/30/2016,2.788
05/23/2016,2.756
05/16/2016,2.7
05/9/2016,2.683
05/2/2016,2.693
04/25/2016,2.616
04/18/2016,2.59
04/11/2016,2.527
04/4/2016,2.532
03/28/2016,2.521
03/21/2016,2.461
03/14/2016,2.409
03/7/2016,2.294
02/29/2016,2.244
02/22/2016,2.205
02/15/2016,2.209
02/8/2016,2.247
02/1/2016,2.307
01/25/2016,2.337
01/18/2016,2.39
01/11/2016,2.469
01/4/2016,2.498
12/28/2015,2.506
12/21/2015,2.499
12/14/2015,2.509
12/7/2015,2.523
11/30/2015,2.529
11/23/2015,2.556
11/16/2015,2.633
11/9/2015,2.678
11/2/2015,2.66
10/26/2015,2.663
10/19/2015,2.705
10/12/2015,2.757
10/5/2015,2.748
09/28/2015,2.748
09/21/2015,2.759
09/14/2015,2.801
09/7/2015,2.853
08/31/2015,2.916
08/24/2015,3.027
08/17/2015,3.096
08/10/2015,3.03
08/3/2015,3.083
07/27/2015,3.129
07/20/2015,3.179
07/13/2015,3.213
07/6/2015,3.168
06/29/2015,3.175
06/22/2015,3.182
