Week,Diesel
09/25/2017,2.788
09/18/2017,2.791
09/11/2017,2.802
09/4/2017,2.758
08/28/2017,2.605
08/21/2017,2.596
08/14/2017,2.598
08/7/2017,2.581
07/31/2017,2.531
07/24/2017,2.507
07/17/2017,2.491
07/10/2017,2.481
07/3/2017,2.472
06/26/2017,2.465
06/19/2017,2.489
06/12/2017,2.524
06/5/2017,2.564
05/29/2017,2.571
05/22/2017,2.539
05/15/2017,2.544
05/8/2017,2.565
05/1/2017,2.583
04/24/2017,2.595
04/17/2017,2.597
04/10/2017,2.582
04/3/2017,2.556
03/27/2017,2.532
03/20/2017,2.539
03/13/2017,2.564
03/6/2017,2.579
02/27/2017,2.577
02/20/2017,2.572
02/13/2017,2.565
02/6/2017,2.558
01/30/2017,2.562
01/23/2017,2.569
01/16/2017,2.585
01/9/2017,2.597
01/2/2017,2.586
12/26/2016,2.54
12/19/2016,2.527
12/12/2016,2.493
12/5/2016,2.48
11/28/2016,2.42
11/21/2016,2.421
11/14/2016,2.443
11/7/2016,2.47
10/31/2016,2.479
10/24/2016,2.478
10/17/2016,2.481
10/10/2016,2.445
10/3/2016,2.389
09/26/2016,2.382
09/19/2016,2.389
09/12/2016,2.399
09/5/2016,2.407
08/29/2016,2.409
08/22/2016,2.37
08/15/2016,2.31
08/8/2016,2.316
08/1/2016,2.348
07/25/2016,2.379
07/18/2016,2.402
07/11/2016,2.414
07/4/2016,2.423
06/27/2016,2.426
06/20/2016,2.426
06/13/2016,2.431
06/6/2016,2.407
05/30/2016,2.382
05/23/2016,2.357
05/16/2016,2.297
05/9/2016,2.271
05/2/2016,2.266
04/25/2016,2.198
04/18/2016,2.165
04/11/2016,2.128
04/4/2016,2.115
03/28/2016,2.121
03/21/2016,2.119
03/14/2016,2.099
03/7/2016,2.021
02/29/2016,1.989
02/22/2016,1.983
02/15/2016,1.98
02/8/2016,2.008
02/1/2016,2.031
01/25/2016,2.071
01/18/2016,2.112
01/11/2016,2.177
01/4/2016,2.211
12/28/2015,2.237
12/21/2015,2.284
12/14/2015,2.338
12/7/2015,2.379
11/30/2015,2.421
11/23/2015,2.445
11/16/2015,2.482
11/9/2015,2.502
11/2/2015,2.485
10/26/2015,2.498
10/19/2015,2.531
10/12/2015,2.556
10/5/2015,2.492
09/28/2015,2.476
09/21/2015,2.493
09/14/2015,2.517
09/7/2015,2.534
08/31/2015,2.514
08/24/2015,2.561
08/17/2015,2.615
08/10/2015,2.617
08/3/2015,2.668
07/27/2015,2.723
07/20/2015,2.782
07/13/2015,2.814
07/6/2015,2.832
06/29/2015,2.843
06/22/2015,2.859
06/15/2015,2.87
06/8/2015,2.884
06/1/2015,2.909
05/25/2015,2.914
05/18/2015,2.904
05/11/2015,2.878
05/4/2015,2.854
04/27/2015,2.811
04/20/2015,2.78
04/13/2015,2.754
04/6/2015,2.784
03/30/2015,2.824
03/23/2015,2.864
03/16/2015,2.917
03/9/2015,2.944
03/2/2015,2.936
02/23/2015,2.9
02/16/2015,2.865
02/9/2015,2.835
02/2/2015,2.831
01/26/2015,2.866
01/19/2015,2.933
01/12/2015,3.053
01/5/2015,3.137
12/29/2014,3.213
12/22/2014,3.281
12/15/2014,3.419
12/8/2014,3.535
12/1/2014,3.605
11/24/2014,3.628
11/17/2014,3.661
11/10/2014,3.677
11/3/2014,3.623
10/27/2014,3.635
10/20/2014,3.656
10/13/2014,3.698
10/6/2014,3.733
09/29/2014,3.755
09/22/2014,3.778
09/15/2014,3.801
09/8/2014,3.814
09/1/2014,3.814
