Date,Open,High,Low,Close,Volume
2010-01-04,66.39,67.2,66.12,67.11,5771234
2010-01-05,66.99,67.62,66.73,67.3,7366270
2010-01-06,67.17,68.94,67.03,68.8,9949946
2010-01-07,68.49,69.81,68.21,69.51,7700297
2010-01-08,69.19,72.0,69.09,70.65,13487621
2010-01-11,71.3,71.56,69.37,70.65,10301674
2010-01-12,69.2,70.71,68.8,69.59,9407467
2010-01-13,69.71,71.08,68.22,70.85,8803928
2010-01-14,70.11,71.83,70.11,71.29,7212395
2010-01-15,71.22,71.97,70.14,70.83,12585485
2010-01-19,69.87,71.25,69.54,70.93,7363557
2010-01-20,69.77,70.15,67.98,69.09,10724673
2010-01-21,69.02,69.49,67.52,68.31,11573809
2010-01-22,67.39,68.38,64.92,65.24,14340182
2010-01-25,65.69,66.58,64.5,65.81,9891413
2010-01-26,65.25,67.75,64.77,65.75,9106131
2010-01-27,65.46,66.29,64.82,65.7,9693320
2010-01-28,66.12,66.75,64.23,64.63,8888856
2010-01-29,65.4,66.19,62.89,63.46,11921652
2010-02-01,64.3,65.2,63.93,64.79,8508087
2010-02-02,65.5,66.53,64.97,66.12,7972146
2010-02-03,65.72,66.88,65.57,65.99,6111764
2010-02-04,64.99,65.19,62.33,62.5,9732087
2010-02-05,62.61,63.17,60.26,62.06,11505298
2010-02-08,62.23,63.68,61.57,62.12,7957277
2010-02-09,63.13,64.99,63.0,63.76,9163435
2010-02-10,63.61,64.25,62.35,63.65,6904502
2010-02-11,63.56,64.9,62.55,64.76,7325018
2010-02-12,63.7,64.73,63.12,64.3,8399942
2010-02-16,65.33,65.74,64.57,65.65,6115901
2010-02-17,65.83,66.0,64.88,65.43,6430799
2010-02-18,65.88,66.33,65.09,65.81,7704383
2010-02-19,63.36,64.39,62.98,63.9,18089091
2010-02-22,60.09,61.94,59.75,61.57,87133565
2010-02-23,61.5,61.72,60.16,60.88,35859448
2010-02-24,61.13,61.5,60.36,60.91,22981225
2010-02-25,60.09,60.94,59.42,60.81,17559534
2010-02-26,61.13,61.4,60.52,61.1,15524047
2010-03-01,61.83,61.98,60.96,61.42,12844284
2010-03-02,61.59,62.88,61.0,62.81,17688453
2010-03-03,63.39,64.03,63.03,63.23,15293634
2010-03-04,63.24,63.73,62.27,62.88,12993852
2010-03-05,63.41,63.94,63.21,63.81,11023972
2010-03-08,63.83,64.65,63.78,64.48,12252998
2010-03-09,64.04,64.57,63.7,64.1,12033008
2010-03-10,64.01,64.52,63.23,64.2,11854580
2010-03-11,64.06,64.19,63.35,63.9,8029785
2010-03-12,64.17,64.67,63.8,64.54,8398449
2010-03-15,64.1,64.67,63.3,64.31,10054125
2010-03-16,64.81,65.66,64.17,65.52,9912092
2010-03-17,65.77,66.98,65.5,66.6,12425677
2010-03-18,66.5,66.73,64.8,65.25,12906198
2010-03-19,65.43,65.78,63.74,64.32,18665822
2010-03-22,62.7,64.3,62.04,63.49,15691252
2010-03-23,63.53,63.97,62.78,63.03,10663715
2010-03-24,62.41,63.31,62.01,62.21,11763187
2010-03-25,62.85,63.25,60.67,60.76,12400241
2010-03-26,61.12,61.99,61.1,61.67,11645299
2010-03-29,62.32,63.4,62.18,63.07,10952723
2010-03-30,63.3,63.83,62.77,63.05,10340509
2010-03-31,63.43,63.56,62.94,63.46,11957738
2010-04-01,64.24,64.87,63.97,64.57,11194164
2010-04-05,65.03,66.23,64.76,65.77,9734700
2010-04-06,65.89,67.02,65.8,66.79,10429632
2010-04-07,66.85,66.85,65.68,66.04,9759091
2010-04-08,65.48,66.8,65.04,66.62,8790875
2010-04-09,67.07,67.35,66.23,66.53,7648426
2010-04-12,66.2,66.84,66.15,66.31,5928359
2010-04-13,66.4,66.4,64.61,65.51,10312735
2010-04-14,66.0,67.42,65.77,67.1,9175666
2010-04-15,67.01,67.5,66.68,67.21,5998685
2010-04-16,66.46,67.16,64.86,65.8,11294093
2010-04-19,65.18,65.92,64.51,65.24,9762395
2010-04-20,66.4,68.0,66.19,67.85,11961874
2010-04-21,67.89,68.5,67.17,68.02,8688892
2010-04-22,67.26,68.41,66.78,68.18,11255220
2010-04-23,70.14,73.19,69.9,72.68,22082864
2010-04-26,72.6,73.17,72.25,72.69,10587104
2010-04-27,72.39,72.59,70.0,70.31,14671621
2010-04-28,70.77,71.14,69.12,71.01,10860259
2010-04-29,72.27,73.99,71.3,73.15,27991287
2010-04-30,73.33,73.8,70.53,71.42,24491942
2010-05-03,71.12,71.98,70.06,71.31,14228696
2010-05-04,69.55,70.56,68.51,68.95,14154084
2010-05-05,67.36,68.32,66.44,67.3,14303517
