Weight Category,W35 35-39,W40 40-44,W45 45-49,W50 50-54,W55 55-59,W60 60-64,W65 65-69,W70 70+
48,70.0,65.0,62.0,60.0,55.0,52.0,50.0,47.0
53,72.0,70.0,65.0,62.0,57.0,55.0,52.0,50.0
58,77.0,72.0,70.0,65.0,62.0,57.0,55.0,52.0
63,80.0,75.0,72.0,70.0,65.0,60.0,57.0,55.0
69,85.0,80.0,75.0,72.0,67.0,62.0,60.0,57.0
75,87.0,82.0,77.0,75.0,70.0,65.0,62.0,60.0
75+,95.0,90.0,85.0,82.0,77.0,67.0,65.0,62.0
