Weight Category,M35 35-39,M40 40-44,M45 45-49,M50 50-54,M55 55-59,M60 60-64,M65 65-69,M70 70-74,M75 75-79,M80 80+
56,137,130,125,115,102,92,80,67,62,55
62,152,145,137,127,112,102,90,75,67,57
69,167,160,150,140,125,112,97,82,75,60
77,182,172,165,150,135,122,107,90,82,65
85,192,182,175,160,142,130,112,95,87,70
94,202,192,182,167,150,137,120,100,90,75
105,210,200,190,175,157,142,122,102,95,80
+105,217,207,197,182,165,150,127,107,100,85
