title,rating,year,duration,director_1,director_fb_likes_1,actor_1,actor_2,actor_3,actor_fb_likes_1,actor_fb_likes_2,actor_fb_likes_3
Monsters vs. Aliens,PG,2009.0,94.0,Rob Letterman,11.0,Amy Poehler,Rainn Wilson,Stephen Colbert,1000.0,973.0,459.0
Iron Man,PG-13,2008.0,126.0,Jon Favreau,4000.0,Robert Downey Jr.,Jeff Bridges,Jon Favreau,21000.0,12000.0,4000.0
Hugo,PG,2011.0,126.0,Martin Scorsese,17000.0,Chloë Grace Moretz,Christopher Lee,Ray Winstone,17000.0,16000.0,1000.0
Wild Wild West,PG-13,1999.0,106.0,Barry Sonnenfeld,188.0,Will Smith,Salma Hayek,Bai Ling,10000.0,4000.0,582.0
The Mummy: Tomb of the Dragon Emperor,PG-13,2008.0,112.0,Rob Cohen,357.0,Jet Li,Brendan Fraser,Russell Wong,5000.0,3000.0,595.0
Suicide Squad,PG-13,2016.0,123.0,David Ayer,453.0,Will Smith,Robin Atkin Downes,Ike Barinholtz,10000.0,336.0,329.0
Evan Almighty,PG,2007.0,96.0,Tom Shadyac,293.0,Jimmy Bennett,Morgan Freeman,Steve Carell,87000.0,11000.0,7000.0
Edge of Tomorrow,PG-13,2014.0,113.0,Doug Liman,218.0,Tom Cruise,Lara Pulver,Noah Taylor,10000.0,854.0,509.0
Waterworld,PG-13,1995.0,176.0,Kevin Reynolds,58.0,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,711.0,60.0,60.0
G.I. Joe: The Rise of Cobra,PG-13,2009.0,118.0,Stephen Sommers,208.0,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,23000.0,2000.0,570.0
Inside Out,PG,2015.0,95.0,Pete Docter,0.0,Amy Poehler,Mindy Kaling,Phyllis Smith,1000.0,767.0,384.0
The Jungle Book,PG,2016.0,106.0,Jon Favreau,4000.0,Scarlett Johansson,Bill Murray,Garry Shandling,19000.0,13000.0,591.0
Iron Man 2,PG-13,2010.0,124.0,Jon Favreau,4000.0,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,21000.0,19000.0,4000.0
Snow White and the Huntsman,PG-13,2012.0,132.0,Rupert Sanders,274.0,Chris Hemsworth,Kristen Stewart,Sam Claflin,26000.0,17000.0,11000.0
Maleficent,PG,2014.0,97.0,Robert Stromberg,171.0,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,11000.0,2000.0,846.0
Dawn of the Planet of the Apes,PG-13,2014.0,130.0,Matt Reeves,198.0,Gary Oldman,Judy Greer,Kodi Smit-McPhee,10000.0,2000.0,884.0
The Lovers,R,2015.0,109.0,Roland Joffé,596.0,Tamsin Egerton,Alice Englert,Bipasha Basu,622.0,525.0,283.0
47 Ronin,PG-13,2013.0,128.0,Carl Rinsch,47.0,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,18000.0,1000.0,982.0
Captain America: The Winter Soldier,PG-13,2014.0,136.0,Anthony Russo,94.0,Scarlett Johansson,Chris Evans,Hayley Atwell,19000.0,11000.0,2000.0
Shrek Forever After,PG,2010.0,93.0,Mike Mitchell,31.0,Jon Hamm,Kathy Griffin,Mary Kay Place,4000.0,225.0,213.0
Tomorrowland,PG,2015.0,130.0,Brad Bird,663.0,Judy Greer,Chris Bauer,Thomas Robinson,2000.0,638.0,604.0
Big Hero 6,PG,2014.0,102.0,Don Hall,38.0,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,756.0,719.0,562.0
Wreck-It Ralph,PG,2012.0,101.0,Rich Moore,66.0,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,975.0,931.0,833.0
The Polar Express,G,2004.0,100.0,Robert Zemeckis,0.0,Tom Hanks,Eddie Deezen,Peter Scolari,15000.0,726.0,267.0
Independence Day: Resurgence,PG-13,2016.0,120.0,Roland Emmerich,776.0,Vivica A. Fox,Sela Ward,Judd Hirsch,890.0,812.0,535.0
How to Train Your Dragon,PG,2010.0,98.0,Dean DeBlois,255.0,Gerard Butler,America Ferrera,Craig Ferguson,18000.0,953.0,759.0
Terminator 3: Rise of the Machines,R,2003.0,109.0,Jonathan Mostow,84.0,Nick Stahl,M.C. Gainey,Carolyn Hennesy,648.0,284.0,191.0
Guardians of the Galaxy,PG-13,2014.0,121.0,James Gunn,571.0,Bradley Cooper,Vin Diesel,Djimon Hounsou,14000.0,14000.0,3000.0
Interstellar,PG-13,2014.0,169.0,Christopher Nolan,22000.0,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,11000.0,11000.0,6000.0
Inception,PG-13,2010.0,148.0,Christopher Nolan,22000.0,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,29000.0,27000.0,23000.0
Godzilla Resurgence,,2016.0,120.0,Hideaki Anno,28.0,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,544.0,106.0,12.0
The Hobbit: An Unexpected Journey,PG-13,2012.0,182.0,Peter Jackson,0.0,Aidan Turner,Adam Brown,James Nesbitt,5000.0,972.0,773.0
The Fast and the Furious,PG-13,2001.0,106.0,Rob Cohen,357.0,Paul Walker,Vin Diesel,Jordana Brewster,23000.0,14000.0,4000.0
The Curious Case of Benjamin Button,PG-13,2008.0,166.0,David Fincher,21000.0,Brad Pitt,Jason Flemyng,Julia Ormond,11000.0,1000.0,919.0
X-Men: First Class,PG-13,2011.0,132.0,Matthew Vaughn,905.0,Jennifer Lawrence,Michael Fassbender,Oliver Platt,34000.0,13000.0,1000.0
The Hunger Games: Mockingjay - Part 2,PG-13,2015.0,137.0,Francis Lawrence,508.0,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,34000.0,22000.0,14000.0
The Sorcerer's Apprentice,PG,2010.0,109.0,Jon Turteltaub,226.0,Nicolas Cage,Omar Benson Miller,Robert Capron,12000.0,418.0,370.0
Poseidon,PG-13,2006.0,98.0,Wolfgang Petersen,249.0,Jimmy Bennett,Mike Vogel,Andre Braugher,87000.0,2000.0,702.0
Alice Through the Looking Glass,PG,2016.0,113.0,James Bobin,33.0,Johnny Depp,Alan Rickman,Anne Hathaway,40000.0,25000.0,11000.0
Shrek the Third,PG,2007.0,93.0,Chris Miller,50.0,Justin Timberlake,Eric Idle,Rupert Everett,3000.0,795.0,692.0
Warcraft,PG-13,2016.0,123.0,Duncan Jones,0.0,Dominic Cooper,Callum Rennie,Ruth Negga,3000.0,716.0,648.0
Terminator Genisys,PG-13,2015.0,126.0,Alan Taylor,230.0,J.K. Simmons,Emilia Clarke,Matt Smith,24000.0,10000.0,2000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,2010.0,113.0,Michael Apted,150.0,Bruce Spence,Shane Rangi,Laura Brent,531.0,82.0,59.0
Pearl Harbor,PG-13,2001.0,184.0,Michael Bay,0.0,Jennifer Garner,Jaime King,Mako,3000.0,961.0,691.0
Transformers,PG-13,2007.0,144.0,Michael Bay,0.0,Zack Ward,Michael O'Neill,Kevin Dunn,662.0,599.0,581.0
Alexander,R,2004.0,206.0,Oliver Stone,0.0,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,12000.0,11000.0,591.0
Harry Potter and the Order of the Phoenix,PG-13,2007.0,138.0,David Yates,282.0,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,21000.0,11000.0,687.0
Harry Potter and the Goblet of Fire,PG-13,2005.0,157.0,Mike Newell,179.0,Robert Pattinson,Daniel Radcliffe,Rupert Grint,21000.0,11000.0,10000.0
Hancock,PG-13,2008.0,102.0,Peter Berg,532.0,Will Smith,Charlize Theron,Eddie Marsan,10000.0,9000.0,979.0
I Am Legend,PG-13,2007.0,104.0,Francis Lawrence,508.0,Will Smith,Alice Braga,Willow Smith,10000.0,1000.0,558.0
Charlie and the Chocolate Factory,PG,2005.0,115.0,Tim Burton,13000.0,Johnny Depp,Christopher Lee,David Kelly,40000.0,16000.0,588.0
Ratatouille,G,2007.0,111.0,Brad Bird,663.0,Janeane Garofalo,John Ratzenberger,Brian Dennehy,1000.0,1000.0,954.0
Batman Begins,PG-13,2005.0,128.0,Christopher Nolan,22000.0,Christian Bale,Liam Neeson,Morgan Freeman,23000.0,14000.0,11000.0
Madagascar: Escape 2 Africa,PG,2008.0,89.0,Eric Darnell,35.0,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,1000.0,851.0,436.0
Night at the Museum: Battle of the Smithsonian,PG,2009.0,105.0,Shawn Levy,189.0,Robin Williams,Rami Malek,Steve Coogan,49000.0,3000.0,1000.0
X-Men Origins: Wolverine,PG-13,2009.0,119.0,Gavin Hood,151.0,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,20000.0,16000.0,2000.0
The Matrix Revolutions,R,2003.0,129.0,Lana Wachowski,0.0,Essie Davis,Collin Chou,Nona Gaye,309.0,269.0,233.0
Frozen,PG,2013.0,102.0,Chris Buck,69.0,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,1000.0,523.0,490.0
The Matrix Reloaded,R,2003.0,138.0,Lana Wachowski,0.0,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,234.0,198.0,30.0
Thor: The Dark World,PG-13,2013.0,112.0,Alan Taylor,230.0,Chris Hemsworth,Natalie Portman,Anthony Hopkins,26000.0,20000.0,12000.0
Mad Max: Fury Road,R,2015.0,120.0,George Miller,750.0,Tom Hardy,Charlize Theron,Zoë Kravitz,27000.0,9000.0,943.0
Angels & Demons,PG-13,2009.0,146.0,Ron Howard,2000.0,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,15000.0,745.0,294.0
Thor,PG-13,2011.0,115.0,Kenneth Branagh,0.0,Chris Hemsworth,Natalie Portman,Anthony Hopkins,26000.0,20000.0,12000.0
Bolt,PG,2008.0,96.0,Byron Howard,59.0,Chloë Grace Moretz,Diedrich Bader,James Lipton,17000.0,759.0,699.0
G-Force,PG,2009.0,88.0,Hoyt Yeatman,12.0,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,730.0,607.0,182.0
Wrath of the Titans,PG-13,2012.0,99.0,Jonathan Liebesman,473.0,Liam Neeson,Edgar Ramírez,Lily James,14000.0,897.0,502.0
Dark Shadows,PG-13,2012.0,113.0,Tim Burton,13000.0,Johnny Depp,Chloë Grace Moretz,Christopher Lee,40000.0,17000.0,16000.0
Mission: Impossible - Rogue Nation,PG-13,2015.0,131.0,Christopher McQuarrie,188.0,Tom Cruise,Jeremy Renner,Sean Harris,10000.0,10000.0,641.0
The Wolfman,R,2010.0,119.0,Joe Johnston,394.0,Anthony Hopkins,Simon Merrells,Art Malik,12000.0,490.0,162.0
Bee Movie,PG,2007.0,91.0,Steve Hickner,58.0,Matthew Broderick,Oprah Winfrey,Rip Torn,2000.0,852.0,826.0
Kung Fu Panda 2,PG,2011.0,90.0,Jennifer Yuh Nelson,90.0,Angelina Jolie Pitt,Gary Oldman,Mike Bell,11000.0,10000.0,15.0
The Last Airbender,PG,2010.0,103.0,M. Night Shyamalan,0.0,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,1000.0,756.0,346.0
Mission: Impossible III,PG-13,2006.0,124.0,J.J. Abrams,14000.0,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,22000.0,10000.0,979.0
White House Down,PG-13,2013.0,131.0,Roland Emmerich,776.0,Channing Tatum,Jake Weber,Matt Craven,17000.0,551.0,256.0
Mars Needs Moms,PG,2011.0,88.0,Simon Wells,25.0,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,921.0,562.0,433.0
Flushed Away,PG,2006.0,85.0,David Bowers,42.0,Hugh Jackman,Kate Winslet,David Suchet,20000.0,14000.0,586.0
Pan,PG,2015.0,111.0,Joe Wright,456.0,Hugh Jackman,Cara Delevingne,Nonso Anozie,20000.0,558.0,394.0
Mr. Peabody & Sherman,PG,2014.0,92.0,Rob Minkoff,50.0,Ty Burrell,Zach Callison,Karan Brar,3000.0,1000.0,517.0
Troy,R,2004.0,196.0,Wolfgang Petersen,249.0,Brad Pitt,Orlando Bloom,Julian Glover,11000.0,5000.0,844.0
Madagascar 3: Europe's Most Wanted,PG,2012.0,93.0,Eric Darnell,35.0,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,851.0,770.0,436.0
Die Another Day,PG-13,2002.0,133.0,Lee Tamahori,93.0,Toby Stephens,Colin Salmon,Rick Yune,769.0,766.0,746.0
Ghostbusters,PG-13,2016.0,116.0,Paul Feig,176.0,Ed Begley Jr.,Kate McKinnon,Zach Woods,783.0,370.0,322.0
Armageddon,PG-13,1998.0,153.0,Michael Bay,0.0,Bruce Willis,Steve Buscemi,Will Patton,13000.0,12000.0,537.0
Men in Black II,PG-13,2002.0,88.0,Barry Sonnenfeld,188.0,Will Smith,Rosario Dawson,Rip Torn,10000.0,3000.0,826.0
Beowulf,PG-13,2007.0,115.0,Robert Zemeckis,0.0,Robin Wright,Anthony Hopkins,Sebastian Roché,18000.0,12000.0,964.0
Kung Fu Panda 3,PG,2016.0,95.0,Alessandro Carloni,5.0,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,24000.0,11000.0,967.0
Mission: Impossible - Ghost Protocol,PG-13,2011.0,133.0,Brad Bird,663.0,Tom Cruise,Jeremy Renner,Michael Nyqvist,10000.0,10000.0,690.0
Rise of the Guardians,PG,2012.0,97.0,Peter Ramsey,52.0,Hugh Jackman,Kamil McFadden,Khamani Griffin,20000.0,315.0,161.0
Fun with Dick and Jane,PG-13,2005.0,90.0,Dean Parisot,23.0,John Michael Higgins,Richard Burgi,David Herman,957.0,550.0,233.0
The Last Samurai,R,2003.0,154.0,Edward Zwick,380.0,Tom Cruise,Tony Goldwyn,Chad Lindberg,10000.0,956.0,445.0
Exodus: Gods and Kings,PG-13,2014.0,150.0,Ridley Scott,0.0,Christian Bale,María Valverde,Ben Mendelsohn,23000.0,893.0,748.0
Star Trek,PG-13,2009.0,127.0,J.J. Abrams,14000.0,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,26000.0,12000.0,991.0
Spider-Man,PG-13,2002.0,121.0,Sam Raimi,0.0,J.K. Simmons,James Franco,Kirsten Dunst,24000.0,11000.0,4000.0
How to Train Your Dragon 2,PG,2014.0,102.0,Dean DeBlois,255.0,Gerard Butler,Djimon Hounsou,America Ferrera,18000.0,3000.0,953.0
Gods of Egypt,PG-13,2016.0,126.0,Alex Proyas,295.0,Gerard Butler,Elodie Yung,Bryan Brown,18000.0,934.0,284.0
Stealth,PG-13,2005.0,121.0,Rob Cohen,357.0,Sam Shepard,Joe Morton,Richard Roxburgh,820.0,780.0,653.0
Watchmen,R,2009.0,215.0,Zack Snyder,0.0,Matt Frewer,Billy Crudup,Stephen McHattie,986.0,745.0,413.0
Lethal Weapon 4,R,1998.0,127.0,Richard Donner,503.0,Jet Li,Rene Russo,Darlene Love,5000.0,808.0,91.0
Hulk,PG-13,2003.0,138.0,Ang Lee,0.0,Kevin Rankin,Regi Davis,Celia Weston,820.0,300.0,258.0
G.I. Joe: Retaliation,PG-13,2013.0,122.0,Jon M. Chu,209.0,Channing Tatum,Dwayne Johnson,Elodie Yung,17000.0,12000.0,934.0
Sahara,PG-13,2005.0,124.0,Breck Eisner,42.0,Matthew McConaughey,Rainn Wilson,Delroy Lindo,11000.0,973.0,848.0
Final Fantasy: The Spirits Within,PG-13,2001.0,106.0,Hironobu Sakaguchi,6.0,Steve Buscemi,Ming-Na Wen,Jean Simmons,12000.0,2000.0,422.0
Captain America: The First Avenger,PG-13,2011.0,124.0,Joe Johnston,394.0,Chris Evans,Dominic Cooper,Hayley Atwell,11000.0,3000.0,2000.0
The World Is Not Enough,PG-13,1999.0,128.0,Michael Apted,150.0,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,766.0,536.0,244.0
Master and Commander: The Far Side of the World,PG-13,2003.0,138.0,Peter Weir,608.0,James D'Arcy,Lee Ingleby,David Threlfall,613.0,172.0,168.0
The Twilight Saga: Breaking Dawn - Part 2,PG-13,2012.0,115.0,Bill Condon,386.0,Robert Pattinson,Kristen Stewart,Taylor Lautner,21000.0,17000.0,12000.0
Happy Feet 2,PG,2011.0,100.0,George Miller,750.0,Robin Williams,Brad Pitt,Common,49000.0,11000.0,989.0
The Incredible Hulk,PG-13,2008.0,135.0,Louis Leterrier,255.0,Ty Burrell,Peter Mensah,William Hurt,3000.0,1000.0,882.0
Miami Vice,TV-14,,60.0,,,Don Johnson,Philip Michael Thomas,John Diehl,982.0,321.0,184.0
The BFG,PG,2016.0,117.0,Steven Spielberg,14000.0,Mark Rylance,Penelope Wilton,Rafe Spall,535.0,400.0,358.0
The Revenant,R,2015.0,156.0,Alejandro G. Iñárritu,0.0,Leonardo DiCaprio,Tom Hardy,Lukas Haas,29000.0,27000.0,733.0
Turbo,PG,2013.0,96.0,David Soren,13.0,Ryan Reynolds,Snoop Dogg,Ben Schwartz,16000.0,881.0,463.0
Rango,PG,2011.0,107.0,Gore Verbinski,563.0,Johnny Depp,Ray Winstone,Stephen Root,40000.0,1000.0,939.0
Penguins of Madagascar,PG,2014.0,92.0,Eric Darnell,35.0,Benedict Cumberbatch,Annet Mahendru,Andy Richter,19000.0,411.0,179.0
The Bourne Ultimatum,PG-13,2007.0,115.0,Paul Greengrass,521.0,Matt Damon,Edgar Ramírez,Albert Finney,13000.0,897.0,883.0
Kung Fu Panda,PG,2008.0,92.0,Mark Osborne,54.0,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,11000.0,967.0,562.0
