title,rating,year,duration,director_1,director_fb_likes_1,actor_1,actor_2,actor_3,actor_fb_likes_1,actor_fb_likes_2,actor_fb_likes_3
Avatar,PG-13,2009.0,178.0,James Cameron,0.0,CCH Pounder,Joel David Moore,Wes Studi,1000.0,936.0,855.0
Pirates of the Caribbean: At World's End,PG-13,2007.0,169.0,Gore Verbinski,563.0,Johnny Depp,Orlando Bloom,Jack Davenport,40000.0,5000.0,1000.0
Spectre,PG-13,2015.0,148.0,Sam Mendes,0.0,Christoph Waltz,Rory Kinnear,Stephanie Sigman,11000.0,393.0,161.0
The Dark Knight Rises,PG-13,2012.0,164.0,Christopher Nolan,22000.0,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,27000.0,23000.0,23000.0
Star Wars: Episode VII - The Force Awakens,,,,Doug Walker,131.0,Doug Walker,Rob Walker,,131.0,12.0,
John Carter,PG-13,2012.0,132.0,Andrew Stanton,475.0,Daryl Sabara,Samantha Morton,Polly Walker,640.0,632.0,530.0
Spider-Man 3,PG-13,2007.0,156.0,Sam Raimi,0.0,J.K. Simmons,James Franco,Kirsten Dunst,24000.0,11000.0,4000.0
Tangled,PG,2010.0,100.0,Nathan Greno,15.0,Brad Garrett,Donna Murphy,M.C. Gainey,799.0,553.0,284.0
Avengers: Age of Ultron,PG-13,2015.0,141.0,Joss Whedon,0.0,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,26000.0,21000.0,19000.0
Harry Potter and the Half-Blood Prince,PG,2009.0,153.0,David Yates,282.0,Alan Rickman,Daniel Radcliffe,Rupert Grint,25000.0,11000.0,10000.0
Batman v Superman: Dawn of Justice,PG-13,2016.0,183.0,Zack Snyder,0.0,Henry Cavill,Lauren Cohan,Alan D. Purwin,15000.0,4000.0,2000.0
Superman Returns,PG-13,2006.0,169.0,Bryan Singer,0.0,Kevin Spacey,Marlon Brando,Frank Langella,18000.0,10000.0,903.0
Quantum of Solace,PG-13,2008.0,106.0,Marc Forster,395.0,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,451.0,412.0,393.0
Pirates of the Caribbean: Dead Man's Chest,PG-13,2006.0,151.0,Gore Verbinski,563.0,Johnny Depp,Orlando Bloom,Jack Davenport,40000.0,5000.0,1000.0
The Lone Ranger,PG-13,2013.0,150.0,Gore Verbinski,563.0,Johnny Depp,Ruth Wilson,Tom Wilkinson,40000.0,2000.0,1000.0
Man of Steel,PG-13,2013.0,143.0,Zack Snyder,0.0,Henry Cavill,Christopher Meloni,Harry Lennix,15000.0,3000.0,748.0
The Chronicles of Narnia: Prince Caspian,PG,2008.0,150.0,Andrew Adamson,80.0,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,22000.0,216.0,201.0
The Avengers,PG-13,2012.0,173.0,Joss Whedon,0.0,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,26000.0,21000.0,19000.0
Pirates of the Caribbean: On Stranger Tides,PG-13,2011.0,136.0,Rob Marshall,252.0,Johnny Depp,Sam Claflin,Stephen Graham,40000.0,11000.0,1000.0
Men in Black 3,PG-13,2012.0,106.0,Barry Sonnenfeld,188.0,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,10000.0,816.0,718.0
The Hobbit: The Battle of the Five Armies,PG-13,2014.0,164.0,Peter Jackson,0.0,Aidan Turner,Adam Brown,James Nesbitt,5000.0,972.0,773.0
The Amazing Spider-Man,PG-13,2012.0,153.0,Marc Webb,464.0,Emma Stone,Andrew Garfield,Chris Zylka,15000.0,10000.0,963.0
Robin Hood,PG-13,2010.0,156.0,Ridley Scott,0.0,Mark Addy,William Hurt,Scott Grimes,891.0,882.0,738.0
The Hobbit: The Desolation of Smaug,PG-13,2013.0,186.0,Peter Jackson,0.0,Aidan Turner,Adam Brown,James Nesbitt,5000.0,972.0,773.0
The Golden Compass,PG-13,2007.0,113.0,Chris Weitz,129.0,Christopher Lee,Eva Green,Kristin Scott Thomas,16000.0,6000.0,1000.0
King Kong,PG-13,2005.0,201.0,Peter Jackson,0.0,Naomi Watts,Thomas Kretschmann,Evan Parke,6000.0,919.0,84.0
Titanic,PG-13,1997.0,194.0,James Cameron,0.0,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,29000.0,14000.0,794.0
Captain America: Civil War,PG-13,2016.0,147.0,Anthony Russo,94.0,Robert Downey Jr.,Scarlett Johansson,Chris Evans,21000.0,19000.0,11000.0
Battleship,PG-13,2012.0,131.0,Peter Berg,532.0,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,14000.0,10000.0,627.0
Jurassic World,PG-13,2015.0,124.0,Colin Trevorrow,365.0,Bryce Dallas Howard,Judy Greer,Omar Sy,3000.0,2000.0,1000.0
Skyfall,PG-13,2012.0,143.0,Sam Mendes,0.0,Albert Finney,Helen McCrory,Rory Kinnear,883.0,563.0,393.0
Spider-Man 2,PG-13,2004.0,135.0,Sam Raimi,0.0,J.K. Simmons,James Franco,Kirsten Dunst,24000.0,11000.0,4000.0
Iron Man 3,PG-13,2013.0,195.0,Shane Black,1000.0,Robert Downey Jr.,Jon Favreau,Don Cheadle,21000.0,4000.0,3000.0
Alice in Wonderland,PG,2010.0,108.0,Tim Burton,13000.0,Johnny Depp,Alan Rickman,Anne Hathaway,40000.0,25000.0,11000.0
X-Men: The Last Stand,PG-13,2006.0,104.0,Brett Ratner,420.0,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,20000.0,808.0,560.0
Monsters University,G,2013.0,104.0,Dan Scanlon,37.0,Steve Buscemi,Tyler Labine,Sean Hayes,12000.0,779.0,760.0
Transformers: Revenge of the Fallen,PG-13,2009.0,150.0,Michael Bay,0.0,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,894.0,581.0,464.0
Transformers: Age of Extinction,PG-13,2014.0,165.0,Michael Bay,0.0,Bingbing Li,Sophia Myles,Kelsey Grammer,974.0,956.0,808.0
Oz the Great and Powerful,PG,2013.0,130.0,Sam Raimi,0.0,Tim Holmes,Mila Kunis,James Franco,44000.0,15000.0,11000.0
The Amazing Spider-Man 2,PG-13,2014.0,142.0,Marc Webb,464.0,Emma Stone,Andrew Garfield,B.J. Novak,15000.0,10000.0,825.0
TRON: Legacy,PG,2010.0,125.0,Joseph Kosinski,364.0,Jeff Bridges,Olivia Wilde,James Frain,12000.0,10000.0,1000.0
Cars 2,G,2011.0,106.0,John Lasseter,487.0,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,1000.0,919.0,776.0
Green Lantern,PG-13,2011.0,123.0,Martin Campbell,258.0,Ryan Reynolds,Temuera Morrison,Taika Waititi,16000.0,368.0,326.0
Toy Story 3,G,2010.0,103.0,Lee Unkrich,125.0,Tom Hanks,John Ratzenberger,Don Rickles,15000.0,1000.0,721.0
Terminator Salvation,PG-13,2009.0,118.0,McG,368.0,Christian Bale,Bryce Dallas Howard,Common,23000.0,3000.0,989.0
Furious 7,PG-13,2015.0,140.0,James Wan,0.0,Jason Statham,Paul Walker,Vin Diesel,26000.0,23000.0,14000.0
World War Z,PG-13,2013.0,123.0,Marc Forster,395.0,Peter Capaldi,Brad Pitt,Mireille Enos,17000.0,11000.0,1000.0
X-Men: Days of Future Past,PG-13,2014.0,149.0,Bryan Singer,0.0,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,34000.0,22000.0,20000.0
Star Trek Into Darkness,PG-13,2013.0,132.0,J.J. Abrams,14000.0,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,19000.0,991.0,928.0
Jack the Giant Slayer,PG-13,2013.0,114.0,Bryan Singer,0.0,Eddie Marsan,Ewen Bremner,Ralph Brown,979.0,557.0,140.0
The Great Gatsby,PG-13,2013.0,143.0,Baz Luhrmann,1000.0,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,29000.0,509.0,77.0
Prince of Persia: The Sands of Time,PG-13,2010.0,116.0,Mike Newell,179.0,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,15000.0,567.0,236.0
Pacific Rim,PG-13,2013.0,131.0,Guillermo del Toro,0.0,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,16000.0,968.0,919.0
Transformers: Dark of the Moon,PG-13,2011.0,154.0,Michael Bay,0.0,Glenn Morshower,Lester Speight,Kevin Dunn,894.0,829.0,581.0
Indiana Jones and the Kingdom of the Crystal Skull,PG-13,2008.0,122.0,Steven Spielberg,14000.0,Harrison Ford,Ray Winstone,Jim Broadbent,11000.0,1000.0,1000.0
The Good Dinosaur,PG,2015.0,93.0,Peter Sohn,113.0,A.J. Buckley,Jack McGraw,Peter Sohn,275.0,150.0,113.0
Brave,PG,2012.0,93.0,Mark Andrews,56.0,Kelly Macdonald,John Ratzenberger,Julie Walters,2000.0,1000.0,838.0
Star Trek Beyond,PG-13,2016.0,122.0,Justin Lin,681.0,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,998.0,119.0,105.0
WALL·E,G,2008.0,98.0,Andrew Stanton,475.0,John Ratzenberger,Fred Willard,Jeff Garlin,1000.0,729.0,522.0
Rush Hour 3,PG-13,2007.0,91.0,Brett Ratner,420.0,Tzi Ma,Dana Ivey,Noémie Lenoir,268.0,271.0,173.0
2012,PG-13,2009.0,158.0,Roland Emmerich,776.0,Oliver Platt,Liam James,Tom McCarthy,1000.0,468.0,310.0
A Christmas Carol,PG,2009.0,96.0,Robert Zemeckis,0.0,Robin Wright,Colin Firth,Gary Oldman,18000.0,14000.0,10000.0
Jupiter Ascending,PG-13,2015.0,127.0,Lana Wachowski,0.0,Channing Tatum,Mila Kunis,Eddie Redmayne,17000.0,15000.0,13000.0
The Legend of Tarzan,PG-13,2016.0,110.0,David Yates,282.0,Christoph Waltz,Alexander Skarsgård,Casper Crump,11000.0,10000.0,103.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,2005.0,150.0,Andrew Adamson,80.0,Jim Broadbent,Kiran Shah,Shane Rangi,1000.0,190.0,82.0
X-Men: Apocalypse,PG-13,2016.0,144.0,Bryan Singer,0.0,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,34000.0,13000.0,1000.0
The Dark Knight,PG-13,2008.0,152.0,Christopher Nolan,22000.0,Christian Bale,Heath Ledger,Morgan Freeman,23000.0,13000.0,11000.0
Up,PG,2009.0,96.0,Pete Docter,0.0,John Ratzenberger,Delroy Lindo,Jess Harnell,1000.0,848.0,262.0
