NEIGHBORHOOD_ID,POPULATION
athmar-park,8898
auraria,705
baker,4879
barnum,6111
barnum-west,5376
bear-valley,8889
belcaro,4172
berkeley,8112
capitol-hill,14708
cbd,3648
chaffee-park,3874
cheesman-park,7971
cherry-creek,5589
city-park,2907
city-park-west,4844
civic-center,1577
clayton,4336
cole,4651
college-view-south-platte,6498
congress-park,10235
cory-merrill,3892
country-club,3001
dia,1165
east-colfax,10191
elyria-swansea,6401
five-points,12712
fort-logan,8532
gateway-green-valley-ranch,29201
globeville,3687
goldsmith,5808
hale,6936
hampden,17547
hampden-south,14370
harvey-park,11525
harvey-park-south,8393
highland,8429
hilltop,8190
indian-creek,3096
jefferson-park,2552
kennedy,4464
lincoln-park,6119
lowry-field,8067
mar-lee,12452
marston,11132
montbello,30348
montclair,5456
north-capitol-hill,5823
north-park-hill,9382
northeast-park-hill,7822
overland,2218
platt-park,5393
regis,3934
rosedale,2553
ruby-hill,9820
skyland,3106
sloan-lake,7238
south-park-hill,8590
southmoor-park,3826
speer,10954
stapleton,13948
sun-valley,1448
sunnyside,9726
union-station,4348
university,9375
university-hills,5327
university-park,7491
valverde,3941
villa-park,8758
virginia-village,12844
washington-park,6905
washington-park-west,6393
washington-virginia-vale,13030
wellshire,3133
west-colfax,9740
west-highland,8540
westwood,15486
whittier,4831
windsor,12589
